"";"tailnum";"year";"type";"manufacturer";"model";"engines";"seats";"speed";"engine"
"622";"N219NN";2015;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"623";"N219UA";2001;"Fixed wing multi engine";"BOEING";"777-222";2;400;0;"Turbo-fan"
"624";"N219WN";2005;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"625";"N219YX";2007;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"626";"N220JQ";2007;"Fixed wing multi engine";"EMBRAER";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"627";"N220NN";2015;"Fixed wing multi engine";"EMBRAER";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"628";"N220UA";2001;"Fixed wing multi engine";"BOEING";"777-222";2;400;0;"Turbo-fan"
"629";"N220WN";2005;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"630";"N221JQ";2007;"Fixed wing multi engine";"EMBRAER";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"631";"N221NN";2015;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"632";"N221UA";2001;"Fixed wing multi engine";"BOEING";"777-222";2;400;0;"Turbo-fan"
"633";"N221WN";2005;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"634";"N222JQ";2007;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"635";"N222NS";2015;"Fixed wing multi engine";"EMBRAER";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"636";"N222UA";2001;"Fixed wing multi engine";"BOEING";"777-222";2;400;0;"Turbo-fan"
"637";"N222WN";2005;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"638";"N223JQ";2008;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"639";"N223NN";2015;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"640";"N223UA";2001;"Fixed wing multi engine";"BOEING";"777-222";2;400;0;"Turbo-fan"
"641";"N223WN";2005;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"642";"N2243U";2017;"Fixed wing multi engine";"BOEING";"777-300ER";2;552;0;"Turbo-fan"
"643";"N224AK";2016;"Fixed wing multi engine";"BOEING";"737-990ER";2;222;0;"Turbo-fan"
"644";"N224JQ";2008;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"645";"N224NN";2016;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"646";"N224UA";2001;"Fixed wing multi engine";"BOEING";"777-222";2;400;0;"Turbo-fan"
"647";"N224WN";2005;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"648";"N2250U";2019;"Fixed wing multi engine";"BOEING";"777-300ER";2;552;0;"Turbo-fan"
"649";"N2251U";2020;"Fixed wing multi engine";"BOEING";"777-300ER";2;552;0;"Turbo-fan"
"650";"N225JQ";2008;"Fixed wing multi engine";"EMBRAER";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"651";"N225UA";2001;"Fixed wing multi engine";"BOEING";"777-222";2;400;0;"Turbo-fan"
"652";"N225WN";2005;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"653";"N226JQ";2008;"Fixed wing multi engine";"EMBRAER";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"654";"N226NN";2016;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"655";"N226UA";2002;"Fixed wing multi engine";"BOEING";"777-222";2;400;0;"Turbo-fan"
"656";"N226WN";2005;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"657";"N227JQ";2008;"Fixed wing multi engine";"EMBRAER";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"658";"N227NN";2016;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"659";"N227UA";2002;"Fixed wing multi engine";"BOEING";"777-222";2;400;0;"Turbo-fan"
"660";"N227WN";2005;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"661";"N228FR";2013;"Fixed wing multi engine";"AIRBUS";"A320-214";2;182;0;"Turbo-fan"
"662";"N228JB";2006;"Fixed wing multi engine";"EMBRAER";"ERJ 190-100 IGW";2;20;0;"Turbo-fan"
"663";"N228JQ";2008;"Fixed wing multi engine";"EMBRAER";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"664";"N228NN";2016;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"665";"N228PQ";2009;"Fixed wing multi engine";"BOMBARDIER INC";"CL-600-2D24";2;95;0;"Turbo-fan"
"666";"N228UA";2002;"Fixed wing multi engine";"BOEING";"777-222";2;400;0;"Turbo-fan"
"667";"N228WN";2005;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"668";"N229FR";2013;"Fixed wing multi engine";"AIRBUS";"A320-214";2;182;0;"Turbo-fan"
"669";"N229JB";2006;"Fixed wing multi engine";"EMBRAER";"ERJ 190-100 IGW";2;20;0;"Turbo-fan"
"670";"N229JQ";2008;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"671";"N229UA";2002;"Fixed wing multi engine";"BOEING";"777-222";2;400;0;"Turbo-fan"
"672";"N229WN";2006;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"673";"N230FR";2015;"Fixed wing multi engine";"AIRBUS";"A320-214";2;182;0;"Turbo-fan"
"674";"N230JQ";2008;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"675";"N230NN";2016;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"676";"N230WN";2006;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"677";"N231AN";2016;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"678";"N231JB";2006;"Fixed wing multi engine";"EMBRAER";"ERJ 190-100 IGW";2;20;0;"Turbo-fan"
"679";"N231JQ";2008;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"680";"N231WN";2006;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"681";"N232FR";2015;"Fixed wing multi engine";"AIRBUS";"A320-214";2;182;0;"Turbo-fan"
"682";"N232JQ";2008;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"683";"N232NN";2016;"Fixed wing multi engine";"EMBRAER";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"684";"N232PQ";2009;"Fixed wing multi engine";"BOMBARDIER INC";"CL-600-2D24";2;95;0;"Turbo-fan"
"685";"N232WN";2006;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"686";"N2331U";2016;"Fixed wing multi engine";"BOEING";"777-300ER";2;552;0;"Turbo-fan"
"687";"N2332U";2016;"Fixed wing multi engine";"BOEING";"777-300ER";2;552;0;"Turbo-fan"
"688";"N2333U";2017;"Fixed wing multi engine";"BOEING";"777-300ER";2;552;0;"Turbo-fan"
"689";"N233FR";2016;"Fixed wing multi engine";"AIRBUS";"A320-214";2;182;0;"Turbo-fan"
"690";"N233JQ";2008;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"691";"N233LV";2006;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"692";"N233NN";2016;"Fixed wing multi engine";"EMBRAER";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"693";"N2341U";2017;"Fixed wing multi engine";"BOEING";"777-300ER";2;552;0;"Turbo-fan"
"694";"N234JQ";2008;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"695";"N234JW";2016;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"696";"N234WN";2006;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"697";"N2352U";NA;"Fixed wing multi engine";"BOEING";"777-300ER";2;552;0;"Turbo-fan"
"698";"N235FR";2016;"Fixed wing multi engine";"AIRBUS";"A320-214";2;182;0;"Turbo-fan"
"699";"N235JQ";2008;"Fixed wing multi engine";"EMBRAER";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"700";"N235NN";2016;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"701";"N235WN";2006;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"702";"N236AK";2016;"Fixed wing multi engine";"BOEING";"737-990ER";2;222;0;"Turbo-fan"
"703";"N236FR";2016;"Fixed wing multi engine";"AIRBUS";"A320-214";2;182;0;"Turbo-fan"
"704";"N236JB";2006;"Fixed wing multi engine";"EMBRAER";"ERJ 190-100 IGW";2;20;0;"Turbo-fan"
"705";"N236JQ";2008;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"706";"N236WN";2006;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"707";"N23707";1998;"Fixed wing multi engine";"BOEING";"737-724";2;149;0;"Turbo-fan"
"708";"N23708";1998;"Fixed wing multi engine";"BOEING";"737-724";2;149;0;"Turbo-fan"
"709";"N23721";1999;"Fixed wing multi engine";"BOEING";"737-724";2;149;0;"Turbo-fan"
"710";"N237AK";2016;"Fixed wing multi engine";"BOEING";"737-990ER";2;222;0;"Turbo-fan"
"711";"N237JQ";2008;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"712";"N237NN";2016;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"713";"N237WN";2006;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"714";"N238AK";2016;"Fixed wing multi engine";"BOEING";"737-990ER";2;222;0;"Turbo-fan"
"715";"N238FR";2016;"Fixed wing multi engine";"AIRBUS";"A320-214";2;182;0;"Turbo-fan"
"716";"N238JB";NA;"Fixed wing multi engine";"EMBRAER";"ERJ 190-100 IGW";2;20;0;"Turbo-fan"
"717";"N238JQ";2008;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"718";"N238NN";2016;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"719";"N238WN";2005;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"720";"N23983";2020;"Fixed wing multi engine";"BOEING";"787-9";2;422;0;"Turbo-fan"
"721";"N239JB";2006;"Fixed wing multi engine";"EMBRAER";"ERJ 190-100 IGW";2;20;0;"Turbo-fan"
"722";"N239JQ";2008;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"723";"N239WN";2006;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"724";"N240JQ";2008;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"725";"N240NN";2016;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"726";"N240SY";2016;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"727";"N240WN";2006;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"728";"N241JQ";2008;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"729";"N241NN";2016;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"730";"N241SY";2016;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"731";"N241WN";2006;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"732";"N24202";2000;"Fixed wing multi engine";"BOEING";"737-824";2;149;0;"Turbo-fan"
"733";"N24211";1998;"Fixed wing multi engine";"BOEING";"737-824";2;149;0;"Turbo-fan"
"734";"N24212";1998;"Fixed wing multi engine";"BOEING";"737-824";2;149;0;"Turbo-fan"
"735";"N24224";1998;"Fixed wing multi engine";"BOEING";"737-824";2;149;0;"Turbo-fan"
"736";"N242JQ";2008;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"737";"N242SY";2016;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"738";"N242WN";2006;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"739";"N243JQ";2008;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"740";"N243NN";2016;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"741";"N243SY";2016;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"742";"N243WN";2006;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"743";"N244JQ";2008;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"744";"N244NN";2016;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"745";"N244SY";2016;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"746";"N244WN";2006;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"747";"N245JQ";2008;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"748";"N245NN";2016;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"749";"N245WN";2006;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"750";"N246JQ";2008;"Fixed wing multi engine";"EMBRAER-EMPRESA BRASILEIRA DE";"ERJ 170-200 LR";2;80;0;"Turbo-fan"
"751";"N246LV";2006;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"752";"N246NN";2016;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"753";"N246SY";2016;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"754";"N24702";1998;"Fixed wing multi engine";"BOEING";"737-724";2;149;0;"Turbo-fan"
"755";"N24706";1998;"Fixed wing multi engine";"BOEING";"737-724";2;149;0;"Turbo-fan"
"756";"N24715";1998;"Fixed wing multi engine";"BOEING";"737-724";2;149;0;"Turbo-fan"
"757";"N24729";1999;"Fixed wing multi engine";"BOEING";"737-724";2;149;0;"Turbo-fan"
"758";"N24736";1999;"Fixed wing multi engine";"BOEING";"737-724";2;149;0;"Turbo-fan"
"759";"N247AK";2016;"Fixed wing multi engine";"BOEING";"737-990ER";2;222;0;"Turbo-fan"
"760";"N247JB";2006;"Fixed wing multi engine";"EMBRAER";"ERJ 190-100 IGW";2;20;0;"Turbo-fan"
"761";"N247SY";2016;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"762";"N247WN";2006;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"763";"N248AK";2016;"Fixed wing multi engine";"BOEING";"737-990ER";2;222;0;"Turbo-fan"
"764";"N248WN";2006;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"765";"N24972";2018;"Fixed wing multi engine";"BOEING";"787-9";2;422;0;"Turbo-fan"
"766";"N24973";2018;"Fixed wing multi engine";"BOEING";"787-9";2;422;0;"Turbo-fan"
"767";"N24974";2018;"Fixed wing multi engine";"BOEING";"787-9";2;422;0;"Turbo-fan"
"768";"N24976";2020;"Fixed wing multi engine";"BOEING";"787-9";2;422;0;"Turbo-fan"
"769";"N24979";2020;"Fixed wing multi engine";"BOEING";"787-9";2;422;0;"Turbo-fan"
"770";"N24980";2020;"Fixed wing multi engine";"BOEING";"787-9";2;422;0;"Turbo-fan"
"771";"N249JB";2006;"Fixed wing multi engine";"EMBRAER";"ERJ 190-100 IGW";2;20;0;"Turbo-fan"
"772";"N249NN";2017;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"773";"N249WN";2006;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"774";"N250NN";2017;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"775";"N250SY";2016;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"776";"N250WN";2006;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"777";"N251AK";NA;"Fixed wing multi engine";"BOEING";"737-990ER";2;222;0;"Turbo-fan"
"778";"N251SY";2016;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"779";"N251WN";2006;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"780";"N25201";1999;"Fixed wing multi engine";"BOEING";"737-824";2;149;0;"Turbo-fan"
"781";"N252NN";2017;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"782";"N252SY";2016;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"783";"N252WN";2006;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"784";"N2534U";2017;"Fixed wing multi engine";"BOEING";"777-300ER";2;552;0;"Turbo-fan"
"785";"N253AK";2016;"Fixed wing multi engine";"BOEING";"737-990ER";2;222;0;"Turbo-fan"
"786";"N253NN";2017;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"787";"N253SY";2016;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"788";"N253WN";2006;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"789";"N254SY";2016;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"790";"N254WN";2006;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"791";"N255NN";2017;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"792";"N255SY";2016;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"793";"N255WN";2006;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"794";"N256SY";2017;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"795";"N256WN";2006;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"796";"N25705";1998;"Fixed wing multi engine";"BOEING";"737-724";2;149;0;"Turbo-fan"
"797";"N257NN";2017;"Fixed wing multi engine";"EMBRAER";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"798";"N257SY";2017;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"799";"N257WN";2006;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"800";"N258JB";2006;"Fixed wing multi engine";"EMBRAER";"ERJ 190-100 IGW";2;20;0;"Turbo-fan"
"801";"N258SY";2017;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"802";"N258WN";2006;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"803";"N25982";2020;"Fixed wing multi engine";"BOEING";"787-9";2;422;0;"Turbo-fan"
"804";"N259NN";2017;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"805";"N259SY";2017;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"806";"N259WN";2006;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"807";"N260AK";2016;"Fixed wing multi engine";"BOEING";"737-990ER";2;222;0;"Turbo-fan"
"808";"N260NN";2017;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"809";"N260SY";2017;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"810";"N260WN";2006;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"811";"N261NN";2017;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"812";"N261SY";2017;"Fixed wing multi engine";"EMBRAER";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"813";"N261WN";2006;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"814";"N26208";2000;"Fixed wing multi engine";"BOEING";"737-824";2;149;0;"Turbo-fan"
"815";"N26210";1998;"Fixed wing multi engine";"BOEING";"737-824";2;149;0;"Turbo-fan"
"816";"N26215";1998;"Fixed wing multi engine";"BOEING";"737-824";2;149;0;"Turbo-fan"
"817";"N26226";1998;"Fixed wing multi engine";"BOEING";"737-824";2;149;0;"Turbo-fan"
"818";"N26232";1999;"Fixed wing multi engine";"BOEING";"737-824";2;149;0;"Turbo-fan"
"819";"N262NN";2017;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"820";"N262WN";2006;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"821";"N2639U";2017;"Fixed wing multi engine";"BOEING";"777-300ER";2;552;0;"Turbo-fan"
"822";"N263AK";2016;"Fixed wing multi engine";"BOEING";"737-990ER";2;222;0;"Turbo-fan"
"823";"N263SY";2018;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LL";2;88;0;"Turbo-fan"
"824";"N263WN";2007;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"825";"N2644U";2017;"Fixed wing multi engine";"BOEING";"777-300ER";2;552;0;"Turbo-fan"
"826";"N2645U";2018;"Fixed wing multi engine";"BOEING";"777-300ER";2;552;0;"Turbo-fan"
"827";"N264AK";2016;"Fixed wing multi engine";"BOEING";"737-990ER";2;222;0;"Turbo-fan"
"828";"N264LV";2007;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"829";"N264NN";2018;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"830";"N264SY";2018;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LL";2;88;0;"Turbo-fan"
"831";"N265AK";2016;"Fixed wing multi engine";"BOEING";"737-900ER";2;222;0;"Turbo-fan"
"832";"N265JB";2006;"Fixed wing multi engine";"EMBRAER";"ERJ 190-100 IGW";2;20;0;"Turbo-fan"
"833";"N265NN";2018;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"834";"N265WN";2007;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"835";"N266AK";2016;"Fixed wing multi engine";"BOEING";"737-900ER";2;222;0;"Turbo-fan"
"836";"N266JB";2007;"Fixed wing multi engine";"EMBRAER";"ERJ 190-100 IGW";2;20;0;"Turbo-fan"
"837";"N266WN";2007;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"838";"N267AK";2017;"Fixed wing multi engine";"BOEING";"737-900ER";2;222;0;"Turbo-fan"
"839";"N267JB";2007;"Fixed wing multi engine";"EMBRAER";"ERJ 190-100 IGW";2;20;0;"Turbo-fan"
"840";"N267NN";2018;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"841";"N267SY";2018;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LL";2;88;0;"Turbo-fan"
"842";"N267WN";2007;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"843";"N268AK";2017;"Fixed wing multi engine";"BOEING";"737-900ER";2;222;0;"Turbo-fan"
"844";"N268NN";2018;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"845";"N268SY";2018;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LL";2;88;0;"Turbo-fan"
"846";"N268WN";2007;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"847";"N26952";2015;"Fixed wing multi engine";"BOEING";"787-9";2;422;0;"Turbo-fan"
"848";"N26960";2015;"Fixed wing multi engine";"BOEING";"787-9";2;422;0;"Turbo-fan"
"849";"N26966";2016;"Fixed wing multi engine";"BOEING";"787-9";2;422;0;"Turbo-fan"
"850";"N26967";2016;"Fixed wing multi engine";"BOEING";"787-9";2;422;0;"Turbo-fan"
"851";"N26970";2017;"Fixed wing multi engine";"BOEING";"787-9";2;422;0;"Turbo-fan"
"852";"N269NN";2019;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"853";"N269SY";2018;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LL";2;88;0;"Turbo-fan"
"854";"N269WN";2007;"Fixed wing multi engine";"BOEING";"737-7H4";2;140;0;"Turbo-fan"
"855";"N27015";2000;"Fixed wing multi engine";"BOEING";"777-224";2;400;0;"Turbo-fan"
"856";"N270AK";2017;"Fixed wing multi engine";"BOEING";"737-900ER";2;222;0;"Turbo-fan"
"857";"N270NN";2019;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"858";"N271NN";2019;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LR";2;88;0;"Turbo-fan"
"859";"N271SY";2018;"Fixed wing multi engine";"EMBRAER S A";"ERJ 170-200 LL";2;88;0;"Turbo-fan"
"860";"N27205";2000;"Fixed wing multi engine";"BOEING";"737-824";2;149;0;"Turbo-fan"
